name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Amazon DynamoDB,,https://aws.amazon.com/dynamodb/,,,,,,,,,,Fast and flexible NoSQL database,,,,,,,,,,,,AWS,Database Services,,,,,,,,,,,,,,,,,,,,,,,,
Amazon EBS,,https://aws.amazon.com/ebs/,,,,,,,,,,Persistent block storage volumes,,,,,,,,,,,,AWS,Storage Services,,,,,,,,,,,,,,,,,,,,,,,,
Amazon EC2,,https://aws.amazon.com/ec2/,,https://twitter.com/awscloud,https://www.crunchbase.com/organization/amazon-web-services,,,graduated,,,,Secure and resizable compute capacity with flexible instance types,,,,,,,,,,,,AWS,Compute Services,,,,,,,,,,,,,,,,,,,,,,,,
Amazon ECS,,https://aws.amazon.com/ecs/,,,,,,,,,,Fully managed container orchestration service,,,,,,,,,,,,AWS,Compute Services,,,,,,,,,,,,,,,,,,,,,,,,
Amazon EFS,,https://aws.amazon.com/efs/,,,,,,,,,,Serverless elastic NFS file system,,,,,,,,,,,,AWS,Storage Services,,,,,,,,,,,,,,,,,,,,,,,,
Amazon EKS,,https://aws.amazon.com/eks/,,,,,,,,,,Managed Kubernetes service,,,,,,,,,,,,AWS,Compute Services,,,,,,,,,,,,,,,,,,,,,,,,
Amazon RDS,,https://aws.amazon.com/rds/,,,https://www.crunchbase.com/organization/amazon-web-services,,,graduated,,,,Managed relational database,,,,,,,,,,,,AWS,Database Services,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Redshift,,https://aws.amazon.com/redshift/,,,,,,,,,,"Fast, fully managed data warehouse",,,,,,,,,,,,AWS,Database Services,,,,,,,,,,,,,,,,,,,,,,,,
Amazon S3,,https://aws.amazon.com/s3/,,,https://www.crunchbase.com/organization/amazon-web-services,,,graduated,,,,Scalable object storage service,,,,,,,,,,,,AWS,Storage Services,,,,,,,,,,,,,,,,,,,,,,,,
Autonomous Data Warehouse,,https://www.oracle.com/cloud/database/autonomous-data-warehouse/,,,,,,,,,,Analytics-optimized autonomous database,,,,,,,,,,,,Oracle Cloud Infrastructure,Database Services,,,,,,,,,,,,,,,,,,,,,,,,
Autonomous Database,,https://www.oracle.com/cloud/database/autonomous-database/,,,https://www.crunchbase.com/organization/oracle-cloud-infrastructure,,,graduated,,,,Self-managing Oracle database,,,,,,,,,,,,Oracle Cloud Infrastructure,Database Services,,,,,,,,,,,,,,,,,,,,,,,,
AWS Lambda,,https://aws.amazon.com/lambda/,,,,,,,,,,Serverless compute for event-driven workloads,,,,,,,,,,,,AWS,Compute Services,,,,,,,,,,,,,,,,,,,,,,,,
Azure Blob Storage,,https://azure.microsoft.com/services/storage/blobs/,,,https://www.crunchbase.com/organization/microsoft-azure,,,graduated,,,,Massively scalable cloud object storage,,,,,,,,,,,,Microsoft Azure,Storage Services,,,,,,,,,,,,,,,,,,,,,,,,
Azure Container Instances,,https://azure.microsoft.com/services/container-instances/,,,,,,,,,,Serverless container deployment,,,,,,,,,,,,Microsoft Azure,Compute Services,,,,,,,,,,,,,,,,,,,,,,,,
Azure Cosmos DB,,https://azure.microsoft.com/services/cosmos-db/,,,,,,,,,,Globally distributed NoSQL database,,,,,,,,,,,,Microsoft Azure,Database Services,,,,,,,,,,,,,,,,,,,,,,,,
Azure Files,,https://azure.microsoft.com/services/storage/files/,,,,,,,,,,Fully managed file shares,,,,,,,,,,,,Microsoft Azure,Storage Services,,,,,,,,,,,,,,,,,,,,,,,,
Azure Functions,,https://azure.microsoft.com/services/functions/,,,,,,,,,,Event-driven serverless compute,,,,,,,,,,,,Microsoft Azure,Compute Services,,,,,,,,,,,,,,,,,,,,,,,,
Azure Kubernetes Service (AKS),,https://azure.microsoft.com/services/kubernetes-service/,,,,,,,,,,Fully managed Kubernetes service,,,,,,,,,,,,Microsoft Azure,Compute Services,,,,,,,,,,,,,,,,,,,,,,,,
Azure Managed Disks,,https://azure.microsoft.com/services/managed-disks/,,,,,,,,,,Persistent block storage for VMs,,,,,,,,,,,,Microsoft Azure,Storage Services,,,,,,,,,,,,,,,,,,,,,,,,
Azure SQL Database,,https://azure.microsoft.com/services/sql-database/,,,https://www.crunchbase.com/organization/microsoft-azure,,,graduated,,,,Fully managed SQL Server database,,,,,,,,,,,,Microsoft Azure,Database Services,,,,,,,,,,,,,,,,,,,,,,,,
Azure Synapse Analytics,,https://azure.microsoft.com/services/synapse-analytics/,,,,,,,,,,Unified analytics platform,,,,,,,,,,,,Microsoft Azure,Database Services,,,,,,,,,,,,,,,,,,,,,,,,
Azure Virtual Machines,,https://azure.microsoft.com/services/virtual-machines/,,,https://www.crunchbase.com/organization/microsoft-azure,,,graduated,,,,Scalable computing resources with Windows or Linux,,,,,,,,,,,,Microsoft Azure,Compute Services,,,,,,,,,,,,,,,,,,,,,,,,
BigQuery,,https://cloud.google.com/bigquery,,,,,,,,,,Serverless data warehouse,,,,,,,,,,,,Google Cloud Platform,Database Services,,,,,,,,,,,,,,,,,,,,,,,,
CI/CD Pipelines,,https://aws.amazon.com/codepipeline/,,,,,,,,,,Continuous integration and deployment across clouds,,,,,,,,,,,,Cross-Cloud Services,Integration & DevOps,,,,,,,,,,,,,,,,,,,,,,,,
Cloud Functions,,https://cloud.google.com/functions,,,,,,,,,,Serverless functions service,,,,,,,,,,,,Google Cloud Platform,Compute Services,,,,,,,,,,,,,,,,,,,,,,,,
Cloud Run,,https://cloud.google.com/run,,,,,,,,,,Fully managed container platform,,,,,,,,,,,,Google Cloud Platform,Compute Services,,,,,,,,,,,,,,,,,,,,,,,,
Cloud SQL,,https://cloud.google.com/sql,,,https://www.crunchbase.com/organization/google-cloud,,,graduated,,,,Fully managed relational database,,,,,,,,,,,,Google Cloud Platform,Database Services,,,,,,,,,,,,,,,,,,,,,,,,
Compliance & Auditing,,https://aws.amazon.com/cloudtrail/,,,,,,,,,,"Governance, compliance monitoring, and audit trails",,,,,,,,,,,,Cross-Cloud Services,Multi-Cloud Security,,,,,,,,,,,,,,,,,,,,,,,,
Container Engine for Kubernetes (OKE),,https://www.oracle.com/cloud/kubernetes/,,,,,,,,,,Managed Kubernetes service,,,,,,,,,,,,Oracle Cloud Infrastructure,Compute Services,,,,,,,,,,,,,,,,,,,,,,,,
Data Warehousing,,https://aws.amazon.com/redshift/,,,,,,,,,,Large-scale data analytics across providers,,,,,,,,,,,,Cross-Cloud Services,Multi-Cloud Analytics,,,,,,,,,,,,,,,,,,,,,,,,
DNS & CDN,,https://aws.amazon.com/route53/,,,,,,,,,,Global DNS and content delivery capabilities,,,,,,,,,,,,Cross-Cloud Services,Multi-Cloud Networking,,,,,,,,,,,,,,,,,,,,,,,,
